run,champion,runner_up,third_place
5080,Spain,England,France
5081,England,Canada,Belgium
5082,United States,England,Canada
5083,Colombia,Morocco,Mexico
5084,Brazil,France,Argentina
5085,Senegal,Argentina,Germany
5086,Spain,Argentina,Netherlands
5087,Japan,Spain,Egypt
5088,Portugal,Argentina,Morocco
5089,Spain,Ivory Coast,Switzerland
5090,Spain,Argentina,England
5091,Algeria,France,Portugal
5092,Austria,Brazil,Morocco
5093,France,Switzerland,England
5094,Spain,Egypt,Germany
5095,Portugal,Argentina,Mexico
5096,Argentina,France,United States
5097,France,England,Belgium
5098,France,Argentina,Austria
5099,England,France,Senegal
5100,Argentina,Senegal,Ivory Coast
5101,Argentina,Spain,Mexico
5102,Croatia,Colombia,Netherlands
5103,Portugal,England,Argentina
5104,England,France,Spain
5105,France,Argentina,Belgium
5106,France,Ecuador,Egypt
5107,Ivory Coast,France,Portugal
5108,Japan,Belgium,Canada
5109,England,Belgium,Morocco
5110,Norway,Spain,Morocco
5111,Sweden,England,Argentina
5112,Austria,Brazil,France
5113,Mexico,Portugal,Switzerland
5114,Argentina,Germany,Austria
5115,Portugal,Argentina,France
5116,Argentina,Paraguay,Ivory Coast
5117,Japan,Spain,Germany
5118,Spain,Algeria,Germany
5119,Egypt,Portugal,Canada
5120,Spain,Colombia,Netherlands
5121,France,Colombia,Mexico
5122,Australia,Senegal,Ecuador
5123,Mexico,Sweden,Portugal
5124,Spain,Colombia,Netherlands
5125,England,Canada,Argentina
5126,Argentina,France,England
5127,Argentina,France,Portugal
5128,England,Canada,Argentina
5129,United States,Japan,Netherlands
5130,Sweden,Colombia,Senegal
5131,Germany,Japan,Spain
5132,Spain,Argentina,England
5133,Spain,Japan,Argentina
5134,Netherlands,Norway,Argentina
5135,Australia,France,Ecuador
5136,Portugal,Egypt,Netherlands
5137,Brazil,Morocco,Belgium
5138,Japan,Belgium,Germany
5139,Portugal,Argentina,Sweden
5140,Spain,Argentina,Japan
5141,Morocco,Brazil,Colombia
5142,Argentina,Belgium,Japan
5143,Brazil,Senegal,Colombia
5144,France,Egypt,Norway
5145,Argentina,France,Brazil
5146,Portugal,Switzerland,Mexico
5147,England,France,Colombia
5148,Spain,Argentina,Japan
5149,Argentina,France,England
5150,Spain,Argentina,Germany
5151,Canada,Algeria,England
5152,Spain,England,Colombia
5153,Morocco,Australia,England
5154,Argentina,Austria,France
5155,Spain,Colombia,Netherlands
5156,England,Germany,Spain
5157,England,Netherlands,Egypt
5158,France,Japan,Argentina
5159,Germany,Japan,Colombia
5160,Ivory Coast,Paraguay,Switzerland
5161,Brazil,Spain,Canada
5162,Spain,Japan,Switzerland
5163,Belgium,Mexico,France
5164,Argentina,Austria,Germany
5165,Morocco,Argentina,Senegal
5166,France,England,Argentina
5167,Algeria,Sweden,Senegal
5168,Australia,Canada,Belgium
5169,Portugal,Brazil,Algeria
5170,Colombia,Spain,Paraguay
5171,France,Argentina,England
5172,Argentina,France,Spain
5173,France,England,Portugal
5174,Spain,Argentina,Brazil
5175,France,England,Argentina
5176,Japan,United States,Germany
5177,France,Mexico,Switzerland
5178,England,Senegal,Colombia
5179,Argentina,Netherlands,Spain
5180,Austria,England,Switzerland
5181,Canada,Switzerland,England
5182,Switzerland,Netherlands,Japan
5183,Brazil,Spain,France
5184,Argentina,Spain,France
5185,Argentina,Portugal,Netherlands
5186,Morocco,England,Senegal
5187,Argentina,Canada,England
5188,Croatia,England,Argentina
5189,France,Ecuador,Portugal
5190,Algeria,France,England
5191,Canada,England,Switzerland
5192,England,Spain,France
5193,England,Belgium,Canada
5194,Canada,England,Algeria
5195,Portugal,Argentina,Germany
5196,Senegal,Argentina,Brazil
5197,England,Netherlands,Egypt
5198,Netherlands,Brazil,Colombia
5199,Brazil,Spain,France
5200,Argentina,Canada,Spain
5201,Argentina,Germany,England
5202,Brazil,Germany,Austria
5203,Argentina,Spain,France
5204,England,Netherlands,Argentina
5205,Argentina,France,England
5206,Spain,England,France
5207,Portugal,Algeria,Ivory Coast
5208,Japan,Netherlands,Portugal
5209,France,Argentina,Spain
5210,Brazil,France,Belgium
5211,Algeria,Paraguay,Spain
5212,Brazil,Germany,Senegal
5213,Spain,Argentina,Ivory Coast
5214,France,Australia,United States
5215,Egypt,Morocco,Spain
5216,Argentina,Spain,England
5217,Argentina,Netherlands,England
5218,France,Colombia,Ivory Coast
5219,Spain,Argentina,Brazil
5220,Spain,Mexico,Germany
5221,Brazil,Netherlands,Argentina
5222,Argentina,Netherlands,Brazil
5223,Algeria,Netherlands,United States
5224,France,Argentina,Brazil
5225,France,Argentina,Austria
5226,Argentina,Spain,Ecuador
5227,France,Japan,Argentina
5228,Brazil,France,Spain
5229,Brazil,Portugal,Netherlands
5230,Netherlands,England,Spain
5231,Argentina,Portugal,Brazil
5232,Netherlands,Argentina,England
5233,Brazil,France,Spain
5234,Australia,Canada,England
5235,England,Spain,Colombia
5236,Brazil,Belgium,France
5237,France,Norway,Belgium
5238,Argentina,Canada,England
5239,Japan,Spain,Switzerland
5240,Argentina,Portugal,Japan
5241,Spain,Australia,Germany
5242,United States,Ghana,Brazil
5243,France,Mexico,Belgium
5244,Spain,Ghana,Canada
5245,Portugal,Argentina,Paraguay
5246,Brazil,Portugal,Germany
5247,Spain,Norway,Argentina
5248,Norway,Netherlands,Argentina
5249,Netherlands,England,Ghana
5250,Norway,France,Switzerland
5251,England,France,Portugal
5252,Belgium,Argentina,Brazil
5253,Spain,Ghana,France
5254,England,Morocco,Senegal
5255,England,Portugal,Algeria
5256,Spain,Argentina,Mexico
5257,England,Netherlands,Australia
5258,Japan,Austria,Netherlands
5259,United States,Australia,Mexico
5260,Brazil,Croatia,Netherlands
5261,France,Egypt,Mexico
5262,Morocco,Brazil,Portugal
5263,Brazil,Belgium,Canada
5264,England,Spain,France
5265,France,England,Spain
5266,Spain,Australia,Brazil
5267,Spain,Ghana,Japan
5268,Germany,Argentina,England
5269,Argentina,Paraguay,Japan
5270,Spain,Norway,Canada
5271,Brazil,Canada,Australia
5272,Argentina,Portugal,Mexico
5273,Argentina,Germany,United States
5274,Ecuador,France,Portugal
5275,Switzerland,Morocco,Brazil
5276,Argentina,United States,Canada
5277,Argentina,Germany,Ivory Coast
5278,France,Switzerland,United States
5279,England,Morocco,Colombia
5280,France,Mexico,Senegal
5281,France,Argentina,Spain
5282,Australia,Canada,Portugal
5283,Japan,Germany,United States
5284,Spain,Argentina,Germany
5285,Switzerland,France,Brazil
5286,Portugal,Switzerland,Japan
5287,Colombia,Germany,Japan
5288,Brazil,Spain,France
5289,Austria,Argentina,Mexico
5290,England,France,Portugal
5291,Mexico,Portugal,Morocco
5292,England,Belgium,Morocco
5293,Argentina,Germany,Spain
5294,Ivory Coast,Spain,France
5295,Morocco,Switzerland,England
5296,France,Mexico,United States
5297,Portugal,England,Germany
5298,France,Ivory Coast,Egypt
5299,France,Brazil,Senegal
5300,Netherlands,Switzerland,Spain
5301,Argentina,France,Spain
5302,Argentina,Spain,England
5303,England,Germany,Algeria
5304,Argentina,Spain,France
5305,Brazil,France,Spain
5306,United States,Argentina,Morocco
5307,Argentina,Portugal,England
5308,Austria,Colombia,Germany
5309,France,Argentina,Portugal
5310,Netherlands,Australia,Spain
5311,Argentina,Portugal,Canada
5312,France,Colombia,Brazil
5313,Belgium,Japan,Egypt
5314,Mexico,Netherlands,Croatia
5315,France,Australia,Spain
5316,Netherlands,Egypt,Spain
5317,Argentina,Morocco,Spain
5318,France,Argentina,Brazil
5319,Japan,Spain,Sweden
5320,England,Belgium,Argentina
5321,England,Senegal,Australia
5322,Switzerland,Canada,Belgium
5323,Argentina,United States,England
5324,England,Netherlands,Senegal
5325,Spain,Algeria,Brazil
5326,Netherlands,Colombia,Spain
5327,Germany,Argentina,Spain
5328,Argentina,Morocco,Bosnia-Herzegovina
5329,Morocco,Switzerland,England
5330,Argentina,Croatia,France
5331,Argentina,Belgium,Norway
5332,Portugal,Ecuador,Colombia
5333,England,Germany,Colombia
5334,Argentina,Austria,Sweden
5335,France,Australia,United States
5336,Argentina,Netherlands,England
5337,Ecuador,Croatia,Germany
5338,Belgium,Japan,Netherlands
5339,England,Germany,Argentina
5340,Argentina,Belgium,Japan
5341,United States,Norway,Netherlands
5342,Argentina,Spain,Netherlands
5343,Japan,Paraguay,Australia
5344,Senegal,England,Canada
5345,Spain,England,Argentina
5346,Argentina,Canada,Mexico
5347,Spain,Brazil,France
5348,Brazil,France,Spain
5349,Argentina,France,Spain
5350,Mexico,Portugal,Canada
5351,Portugal,Ivory Coast,Colombia
5352,Switzerland,Germany,Portugal
5353,France,England,Algeria
5354,Argentina,Austria,France
5355,Netherlands,Colombia,Brazil
5356,Morocco,England,Belgium
5357,Argentina,France,Spain
5358,Spain,Argentina,England
5359,Japan,Germany,United States
5360,United States,Mexico,France
5361,Argentina,France,Brazil
5362,France,Argentina,Belgium
5363,Argentina,Senegal,Japan
5364,Spain,Japan,Sweden
5365,France,England,Portugal
5366,Argentina,Spain,Japan
5367,France,Mexico,Spain
5368,Japan,Spain,Netherlands
5369,England,France,Spain
5370,Spain,Ecuador,France
5371,Switzerland,Senegal,Germany
5372,England,Spain,France
5373,France,Colombia,Brazil
5374,Spain,Switzerland,Japan
5375,France,England,Portugal
5376,Argentina,Spain,Ivory Coast
5377,Spain,Brazil,Morocco
5378,Portugal,Brazil,Germany
5379,Belgium,Colombia,England
5380,England,Portugal,France
5381,France,Australia,Spain
5382,France,England,Belgium
5383,United States,Ivory Coast,Canada
5384,England,United States,Colombia
5385,Portugal,Argentina,Japan
5386,Brazil,Portugal,Algeria
5387,England,Canada,United States
5388,Norway,Belgium,France
5389,France,Australia,Japan
5390,Netherlands,Japan,Senegal
5391,Colombia,Netherlands,Portugal
5392,Morocco,Japan,Colombia
5393,Japan,France,Portugal
5394,France,Argentina,Norway
5395,United States,Australia,Canada
5396,Argentina,Germany,Portugal
5397,Argentina,Belgium,England
5398,Brazil,Germany,Belgium
5399,Japan,Netherlands,United States
5400,France,Norway,Colombia
5401,France,Japan,Switzerland
5402,France,Argentina,Ivory Coast
5403,Argentina,United States,Germany
5404,England,United States,Netherlands
5405,Belgium,England,France
5406,France,Norway,Belgium
5407,Canada,Colombia,England
5408,Portugal,Brazil,Morocco
5409,France,Algeria,Spain
5410,Argentina,Spain,Germany
5411,Morocco,England,Portugal
5412,England,Austria,Argentina
5413,Norway,Portugal,France
5414,Algeria,France,Japan
5415,Argentina,Spain,Morocco
5416,Spain,Argentina,France
5417,England,Portugal,Egypt
5418,Australia,France,Ecuador
5419,Australia,Senegal,Germany
5420,England,Portugal,Argentina
5421,France,Ghana,Spain
5422,Belgium,Switzerland,Ivory Coast
5423,Brazil,Netherlands,Spain
5424,Germany,Egypt,Mexico
5425,Argentina,Spain,England
5426,Brazil,France,Argentina
5427,Morocco,Colombia,Portugal
5428,France,Argentina,Ivory Coast
5429,Switzerland,Germany,Portugal
5430,Switzerland,Spain,England
5431,Belgium,Argentina,Germany
5432,Argentina,France,Croatia
5433,Spain,England,Australia
5434,Mexico,France,Cape Verde Islands
5435,Argentina,Spain,Mexico
5436,England,Germany,Argentina
5437,Switzerland,Netherlands,Norway
5438,Argentina,Canada,United States
5439,Brazil,Portugal,Canada
5440,Spain,England,Argentina
5441,France,England,Spain
5442,Morocco,England,Belgium
5443,Brazil,Netherlands,United States
5444,France,Argentina,Belgium
5445,Spain,Colombia,Germany
5446,Ghana,Belgium,France
5447,Belgium,Japan,Argentina
5448,France,England,Spain
5449,England,France,Austria
5450,Netherlands,England,Croatia
5451,Japan,Portugal,Argentina
5452,Netherlands,Argentina,Portugal
5453,Argentina,Bosnia-Herzegovina,England
5454,Sweden,Ecuador,Senegal
5455,Morocco,Argentina,Spain
5456,Argentina,Germany,Belgium
5457,Spain,Australia,Morocco
5458,Argentina,Germany,England
5459,Portugal,Australia,Ivory Coast
5460,Spain,Brazil,France
5461,Belgium,Japan,Switzerland
5462,Argentina,Croatia,Morocco
5463,Portugal,Brazil,Australia
5464,Netherlands,England,Portugal
5465,Netherlands,Switzerland,Mexico
5466,England,Canada,Argentina
5467,Brazil,Spain,Egypt
5468,Spain,Argentina,Brazil
5469,Brazil,Spain,Paraguay
5470,Argentina,United States,England
5471,France,Argentina,Mexico
5472,Spain,Argentina,France
5473,England,Canada,Australia
5474,Germany,Argentina,Croatia
5475,Belgium,Egypt,Germany
5476,Brazil,France,Portugal
5477,Belgium,Ivory Coast,Germany
5478,Portugal,Norway,Canada
5479,France,Japan,Australia
5480,Belgium,Argentina,England
5481,Belgium,England,Sweden
5482,France,England,Belgium
5483,Mexico,United States,France
5484,Brazil,Netherlands,Spain
5485,Norway,Spain,Switzerland
5486,England,Netherlands,Argentina
5487,Germany,Colombia,Bosnia-Herzegovina
5488,Morocco,Norway,Colombia
5489,France,England,Argentina
5490,Brazil,Germany,Croatia
5491,Spain,Brazil,Switzerland
5492,Germany,Australia,Portugal
5493,France,Argentina,Brazil
5494,Argentina,France,Portugal
5495,Canada,Ivory Coast,Spain
5496,Morocco,Japan,Spain
5497,England,Netherlands,Austria
5498,France,Argentina,Spain
5499,France,Brazil,Spain
5500,Canada,Colombia,Spain
5501,France,Colombia,Belgium
5502,England,Spain,Argentina
5503,Mexico,Belgium,France
5504,France,Argentina,Spain
5505,Brazil,Portugal,Colombia
5506,Argentina,Germany,England
5507,Colombia,Senegal,Germany
5508,Spain,Mexico,France
5509,Belgium,Ghana,Netherlands
5510,Germany,Argentina,United States
5511,Belgium,Mexico,Colombia
5512,Belgium,Brazil,Argentina
5513,Belgium,Argentina,Ecuador
5514,Portugal,Algeria,Ecuador
5515,Argentina,Spain,France
5516,England,Netherlands,Portugal
5517,Argentina,United States,Ivory Coast
5518,Ecuador,France,Argentina
5519,Spain,Brazil,Colombia
5520,Japan,Germany,Portugal
5521,England,Netherlands,Portugal
5522,Argentina,France,England
5523,Brazil,Portugal,France
5524,England,Spain,France
5525,Australia,Croatia,Japan
5526,Morocco,England,Algeria
5527,Germany,Colombia,Norway
5528,France,Argentina,Brazil
5529,Brazil,Belgium,Australia
5530,England,Sweden,Austria
5531,Spain,Algeria,Japan
5532,Netherlands,Switzerland,Bosnia-Herzegovina
5533,Portugal,England,France
5534,Argentina,Croatia,England
5535,France,Argentina,Mexico
5536,Croatia,Argentina,Brazil
5537,France,Argentina,Spain
5538,Austria,Algeria,France
5539,Argentina,United States,Japan
5540,England,Netherlands,Austria
5541,Colombia,Spain,France
5542,England,Netherlands,Argentina
5543,Algeria,United States,Norway
5544,Norway,Portugal,Netherlands
5545,Brazil,France,Argentina
5546,Brazil,Austria,Netherlands
5547,Belgium,Brazil,Germany
5548,England,Morocco,Argentina
5549,Argentina,Spain,Sweden
5550,Egypt,Spain,France
5551,Spain,England,Canada
5552,Spain,Ivory Coast,Egypt
5553,Spain,Colombia,England
5554,France,Japan,Argentina
5555,Spain,Ecuador,Argentina
5556,Argentina,France,England
5557,Spain,Switzerland,Netherlands
5558,Portugal,Norway,Argentina
5559,Brazil,Germany,Spain
5560,Argentina,Netherlands,Brazil
5561,Argentina,France,Spain
5562,France,Argentina,Spain
5563,England,Belgium,Netherlands
5564,Argentina,Germany,Brazil
5565,Belgium,Argentina,Japan
5566,Bosnia-Herzegovina,England,Morocco
5567,Spain,Argentina,Brazil
5568,Argentina,Portugal,Canada
5569,Brazil,Portugal,Morocco
5570,Canada,Argentina,Belgium
5571,Mexico,Germany,Algeria
5572,Portugal,Ivory Coast,Argentina
5573,Argentina,Senegal,England
5574,France,England,Argentina
5575,Argentina,Spain,France
5576,France,England,Spain
5577,Argentina,France,Japan
5578,France,Mexico,United States
5579,France,England,Portugal
5580,Ecuador,France,United States
5581,Portugal,Argentina,Brazil
5582,Portugal,Switzerland,Ivory Coast
5583,Paraguay,Argentina,United States
5584,England,Belgium,Canada
5585,Spain,Mexico,France
5586,Germany,Ivory Coast,Spain
5587,England,Portugal,Ghana
5588,Belgium,Ecuador,Ghana
5589,Argentina,Morocco,Mexico
5590,Australia,United States,France
5591,England,Netherlands,Belgium
5592,Argentina,France,Portugal
5593,Morocco,Australia,Spain
5594,Argentina,Sweden,Norway
5595,France,Egypt,Spain
5596,Spain,England,France
5597,Colombia,Senegal,Morocco
5598,Portugal,Brazil,Ghana
5599,Netherlands,Argentina,Portugal
5600,Mexico,Germany,Senegal
5601,Canada,England,Argentina
5602,Australia,Belgium,Germany
5603,Spain,Colombia,France
5604,Mexico,Netherlands,Ghana
5605,Canada,Egypt,Croatia
5606,Portugal,Argentina,Netherlands
5607,England,Spain,Paraguay
5608,Spain,Colombia,Netherlands
5609,France,England,Colombia
5610,Germany,Norway,Croatia
5611,France,England,Portugal
5612,Netherlands,Switzerland,England
5613,England,Germany,Egypt
5614,France,Ecuador,Spain
5615,Colombia,Spain,France
5616,France,England,Argentina
5617,Argentina,Sweden,Belgium
5618,Netherlands,Mexico,Spain
5619,Mexico,Paraguay,Switzerland
5620,Argentina,Portugal,France
5621,France,Algeria,Spain
5622,Belgium,Mexico,Australia
5623,Spain,England,Germany
5624,France,Switzerland,Norway
5625,Japan,Spain,Argentina
5626,England,Spain,Algeria
5627,Mexico,Spain,France
5628,Brazil,Spain,Argentina
5629,Morocco,Japan,Spain
5630,France,Mexico,Portugal
5631,Belgium,Algeria,Norway
5632,Netherlands,Ivory Coast,Belgium
5633,Argentina,France,Belgium
5634,Spain,Colombia,France
5635,Belgium,Australia,France
5636,Belgium,Argentina,Morocco
5637,Brazil,Belgium,Sweden
5638,Mexico,Canada,United States
5639,England,Spain,Argentina
5640,Argentina,Belgium,Ecuador
5641,Croatia,Algeria,Ivory Coast
5642,France,Argentina,Portugal
5643,Brazil,United States,Germany
5644,England,Germany,Colombia
5645,Netherlands,Argentina,Spain
5646,Spain,Japan,Canada
5647,Argentina,France,Spain
5648,Argentina,Belgium,England
5649,Colombia,Paraguay,Mexico
5650,Mexico,Spain,Argentina
5651,England,France,Argentina
5652,Brazil,Belgium,Canada
5653,England,Canada,Egypt
5654,Spain,Ivory Coast,Egypt
5655,Australia,Morocco,Japan
5656,France,Brazil,Argentina
5657,Argentina,Spain,France
5658,England,Spain,Colombia
5659,Paraguay,Argentina,Brazil
5660,France,England,Argentina
5661,Argentina,Austria,France
5662,England,Senegal,Argentina
5663,England,Belgium,France
5664,Argentina,Croatia,Canada
5665,Netherlands,Mexico,Portugal
5666,Portugal,Cape Verde Islands,Mexico
5667,Brazil,Spain,Argentina
5668,Germany,England,Colombia
5669,Spain,Argentina,Germany
5670,Spain,Argentina,England
5671,Spain,England,Canada
5672,Argentina,Canada,England
5673,Spain,Argentina,Canada
5674,Japan,Netherlands,Argentina
5675,Brazil,Croatia,Australia
5676,Spain,Colombia,Brazil
5677,Belgium,Egypt,Ecuador
5678,Japan,Belgium,Switzerland
5679,Portugal,England,Netherlands
5680,Morocco,Ecuador,Algeria
5681,Croatia,Switzerland,Brazil
5682,Argentina,France,England
5683,France,Colombia,Spain
5684,United States,Japan,Germany
5685,Spain,Algeria,Brazil
5686,Croatia,England,Canada
5687,Belgium,Ivory Coast,Colombia
5688,Belgium,Australia,England
5689,Brazil,Germany,Argentina
5690,United States,Brazil,Algeria
5691,France,Colombia,England
5692,Brazil,Spain,France
5693,Spain,Argentina,France
5694,Morocco,Ivory Coast,Switzerland
5695,France,Switzerland,Norway
5696,England,Croatia,France
5697,England,Morocco,Argentina
5698,England,Morocco,Argentina
5699,Belgium,Mexico,Argentina
5700,Spain,Ecuador,Argentina
5701,Argentina,France,Croatia
5702,France,England,Egypt
5703,Spain,Japan,Canada
5704,Brazil,Belgium,Algeria
5705,Netherlands,Switzerland,Senegal
5706,France,Argentina,Japan
5707,Colombia,United States,Brazil
5708,France,England,Spain
5709,France,England,Belgium
5710,Australia,Spain,Netherlands
5711,Colombia,Canada,Senegal
5712,Algeria,Austria,England
5713,Spain,Australia,Ivory Coast
5714,France,Japan,Bosnia-Herzegovina
5715,Portugal,Algeria,France
5716,France,Australia,Spain
5717,Portugal,Mexico,Algeria
5718,England,Germany,Argentina
5719,Spain,Argentina,Brazil
5720,Portugal,Argentina,Netherlands
5721,France,England,Portugal
5722,Spain,Japan,Morocco
5723,Brazil,United States,Argentina
5724,Canada,Ecuador,Switzerland
5725,Argentina,United States,Norway
5726,France,Egypt,England
5727,Netherlands,Egypt,Spain
5728,Senegal,Brazil,Argentina
5729,Portugal,Argentina,Netherlands
5730,Spain,Argentina,France
5731,Netherlands,Japan,Spain
5732,Brazil,Paraguay,Portugal
5733,England,Belgium,Argentina
5734,Portugal,England,Switzerland
5735,Argentina,Spain,Germany
5736,Spain,Ecuador,Colombia
5737,Germany,Argentina,Austria
5738,Argentina,Canada,Senegal
5739,Spain,Ghana,France
5740,Ivory Coast,Croatia,Morocco
5741,Germany,Argentina,Japan
5742,Argentina,France,Japan
5743,England,Bosnia-Herzegovina,Switzerland
5744,Argentina,France,Spain
5745,Brazil,Belgium,Germany
5746,Brazil,France,Argentina
5747,Spain,Argentina,Paraguay
5748,Netherlands,Algeria,Spain
5749,France,Mexico,Argentina
5750,Argentina,Canada,Mexico
5751,Spain,Argentina,Japan
5752,Japan,Senegal,France
5753,Argentina,Portugal,Mexico
5754,England,Germany,Colombia
5755,Spain,Ivory Coast,Argentina
5756,France,Algeria,Norway
5757,Germany,Congo DR,Portugal
5758,Colombia,Germany,Croatia
5759,Japan,Belgium,Canada
5760,Spain,Japan,Switzerland
5761,England,Austria,Canada
5762,Spain,Argentina,Netherlands
5763,Argentina,Netherlands,Norway
5764,United States,Argentina,Canada
5765,Argentina,Spain,Japan
5766,Mexico,Spain,Canada
5767,Mexico,France,Senegal
5768,Argentina,Belgium,England
5769,Germany,Ecuador,Algeria
5770,Mexico,Spain,Germany
5771,Senegal,Mexico,Colombia
5772,Argentina,Croatia,England
5773,England,Spain,Argentina
5774,Egypt,Belgium,France
5775,England,Germany,Spain
5776,Belgium,Ghana,England
5777,Ivory Coast,Netherlands,Argentina
5778,Argentina,Belgium,France
5779,Switzerland,Netherlands,Japan
5780,France,Mexico,Argentina
5781,Portugal,Colombia,Morocco
5782,Brazil,Spain,Netherlands
5783,England,France,Colombia
5784,England,Sweden,Croatia
5785,Germany,Argentina,Portugal
5786,Senegal,Mexico,Argentina
5787,Argentina,Netherlands,Belgium
5788,Spain,England,France
5789,Spain,England,Morocco
5790,Argentina,Senegal,England
5791,England,Canada,Portugal
5792,Argentina,Germany,Ivory Coast
5793,Austria,Algeria,Brazil
5794,England,Croatia,Algeria
5795,France,Switzerland,Portugal
5796,England,France,Portugal
5797,Morocco,Ecuador,Argentina
5798,France,Colombia,United States
5799,Portugal,Switzerland,Germany
5800,Ivory Coast,Netherlands,Spain
5801,Netherlands,Norway,Argentina
5802,France,England,Argentina
5803,Morocco,Argentina,Spain
5804,Argentina,Spain,Germany
5805,Argentina,Morocco,Brazil
5806,Belgium,England,Germany
5807,Colombia,Portugal,France
5808,England,Senegal,Argentina
5809,Switzerland,France,Brazil
5810,Argentina,Spain,Brazil
5811,Germany,Egypt,Senegal
5812,Australia,Senegal,England
5813,Australia,Morocco,Belgium
5814,France,Japan,Algeria
5815,United States,Switzerland,Norway
5816,Germany,Ivory Coast,Spain
5817,Mexico,Croatia,Argentina
5818,Canada,Brazil,Argentina
5819,France,Ecuador,Croatia
5820,Brazil,France,Austria
5821,Colombia,United States,Morocco
5822,Japan,Germany,Argentina
5823,France,Brazil,Portugal
5824,Argentina,Spain,Morocco
5825,Mexico,Netherlands,Switzerland
5826,France,England,Senegal
5827,Morocco,Switzerland,Spain
5828,Argentina,Senegal,France
5829,Brazil,France,Spain
5830,Argentina,Germany,Mexico
5831,Paraguay,Argentina,Austria
5832,Belgium,Argentina,Paraguay
5833,Argentina,Portugal,Mexico
5834,Brazil,Portugal,Paraguay
5835,Germany,Ivory Coast,Egypt
5836,Portugal,Ivory Coast,Argentina
5837,Japan,France,Belgium
5838,Mexico,Germany,Portugal
5839,Australia,Paraguay,Brazil
5840,France,England,Egypt
5841,Japan,Spain,Colombia
5842,France,Mexico,United States
5843,France,Mexico,Australia
5844,Spain,England,Germany
5845,Spain,England,Netherlands
5846,Japan,Portugal,France
5847,Spain,Norway,Morocco
5848,England,Senegal,Germany
5849,England,Portugal,Germany
5850,England,Spain,France
5851,Spain,Brazil,Germany
5852,Germany,Argentina,Ivory Coast
5853,Japan,Canada,Algeria
5854,Egypt,Morocco,Norway
5855,England,France,Argentina
5856,Argentina,Germany,Spain
5857,France,England,Spain
5858,France,Argentina,Spain
5859,Argentina,United States,Paraguay
5860,Mexico,Sweden,Colombia
5861,Portugal,Colombia,Mexico
5862,France,Japan,Argentina
5863,United States,Mexico,Argentina
5864,Portugal,Argentina,Germany
5865,Morocco,England,Senegal
5866,Argentina,Germany,Spain
5867,Spain,Colombia,Germany
5868,England,France,Spain
5869,Senegal,Norway,Colombia
5870,Colombia,Germany,Mexico
5871,Argentina,France,Portugal
5872,Netherlands,Mexico,Belgium
5873,Brazil,Senegal,Argentina
5874,Spain,Switzerland,Japan
5875,France,Ivory Coast,Australia
5876,Argentina,Portugal,Canada
5877,Netherlands,Japan,United States
5878,Belgium,Mexico,Argentina
5879,Argentina,Netherlands,Senegal
5880,France,England,Croatia
5881,Belgium,Colombia,France
5882,Portugal,Argentina,England
5883,Argentina,France,Japan
5884,Brazil,Germany,Belgium
5885,Argentina,Germany,Spain
5886,France,England,Croatia
5887,France,Argentina,Spain
5888,Netherlands,Argentina,Japan
5889,France,Brazil,Argentina
5890,Argentina,Netherlands,Bosnia-Herzegovina
5891,Mexico,France,Algeria
5892,Argentina,Belgium,Canada
5893,Germany,Mexico,Switzerland
5894,Portugal,Ecuador,Netherlands
5895,Netherlands,Australia,Brazil
5896,Spain,Brazil,Argentina
5897,Norway,Spain,Canada
5898,Senegal,Japan,Argentina
5899,Germany,Switzerland,Spain
5900,Portugal,England,Netherlands
5901,Argentina,France,Senegal
5902,Spain,Ivory Coast,Colombia
5903,Germany,Algeria,Brazil
5904,England,Belgium,Colombia
5905,Argentina,Belgium,Norway
5906,Belgium,England,Egypt
5907,France,Switzerland,England
5908,England,Canada,Spain
5909,Switzerland,Portugal,Mexico
5910,Senegal,Algeria,Ecuador
5911,Croatia,Japan,Canada
5912,Colombia,Paraguay,Senegal
5913,Ghana,Croatia,Ivory Coast
5914,France,Colombia,Brazil
5915,France,Argentina,Austria
5916,Mexico,Sweden,Australia
5917,Argentina,Spain,Brazil
5918,Japan,United States,Germany
5919,Mexico,Senegal,France
5920,Morocco,Egypt,Austria
5921,Spain,Colombia,Sweden
5922,Croatia,Japan,France
5923,Spain,Japan,Canada
5924,Argentina,Portugal,England
5925,Argentina,Spain,Paraguay
5926,Morocco,Japan,Argentina
5927,Spain,Egypt,Brazil
5928,Argentina,United States,Netherlands
5929,United States,Argentina,Morocco
5930,Netherlands,Switzerland,Portugal
5931,Norway,France,Ghana
5932,Congo DR,France,Spain
5933,Argentina,Netherlands,Norway
5934,Argentina,Morocco,Mexico
5935,Netherlands,Ecuador,Colombia
5936,Argentina,Belgium,France
5937,Brazil,France,United States
5938,Spain,Algeria,France
5939,Portugal,Colombia,Sweden
5940,France,Norway,Senegal
5941,Argentina,Spain,Netherlands
5942,Spain,Australia,France
5943,Germany,Brazil,Senegal
5944,England,Belgium,France
5945,Germany,Mexico,Spain
5946,Brazil,Germany,Argentina
5947,Argentina,Portugal,England
5948,France,England,Australia
5949,Belgium,Japan,France
5950,England,Senegal,Argentina
5951,France,Japan,Spain
5952,England,Spain,Argentina
5953,Spain,Argentina,Mexico
5954,France,Brazil,Portugal
5955,Portugal,Argentina,Japan
5956,Argentina,France,United States
5957,Portugal,Australia,France
5958,United States,Australia,Japan
